goal,steps,branching_step,options,op1_ra,op2_ra,type
go out for a picnic,"[decided to go out for a picnic, 
take a shower, 
get ready for the day, 
get in the car, 
drive to the park, 
park the car]",park the car,"park along the street
try to park inside the park","[1, 5]","[4, 7]",golden
buy fishing equipment,"[decided to buy fishing equipment, 
leave the house, 
get into car, 
drive to sporting goods store, 
park car at sporting goods store, 
walk into sporting goods store, 
locate fishing equipment, 
decide on what fishing equipment to buy]",decide on what fishing equipment to buy,"ask a salesman for recommendations
buy the cheapest option","[6, 7]","[0, 1, 2, 10]",golden
view the homes,"[make an appointment to view homes, 
put appointment in calendar, 
wait until time to meet, 
get in car, 
drive to prospective home, 
meet with realtor]",make an appointment to view homes,"call the agent to make an appointment
make an online booking",[7],"[0, 2]",golden
dig holes for plants,"[start digging holes in the yard for seed pots, 
put both hands on shovel, 
determine how deep to dig, 
raise shovel to chest height, 
forcefully put down shovel head into dirt, 
pick up dirt with shovel]",determine how deep to dig,"search online for the guidance based on the type of plants
ask a family member for suggections","[5, 10]","[0, 2, 6]",golden
go on a diet,"[decided to go on a diet, 
throw out old junk food, 
download food diary app, 
go on a diet, 
go to grocery store, 
buy healthy food, 
drive home after packing up car, 
prepare a healthy meal]",go to grocery store,"go to a general grocery store
go to an organic grocery store such as wholefoods","[1, 5]","[3, 7]",golden
work at a ramen shop,"[decided to work at a ramen shop, 
write a resume, 
write a cover letter, 
submit resume and cover letter to the ramen shop, 
wait for the ramen shop to get in touch, 
go in for an interview, 
accept a job offer]",submit resume and cover letter to the ramen shop,"print out everything and submit them to the ramen shop in person
submit the resume and cover letter online","[4, 7]","[0, 2]",golden
start practicing with friends,"[learn how to play football, 
contact friends to set up a time, 
set up a time, 
go when the time comes, 
greet the friends, 
start throwing footballs]",contact friends to set up a time,"make a public post about playing football in facebook group
call friends one at a time to see their available time","[0, 2]",[7],golden
try making bagels,"[decided to try making bagels, 
turn on the computer, 
open a web browswer, 
search the internet for how to make bagels, 
take notes on how to make bagels, 
drive to the store, 
buy ingredients at the store, 
follow the instructions to make bagels]",take notes on how to make bagels,"take notes on the easy recipes of making bagels
take notes on the delicious but difficult recipes of making bagels","[0, 2, 7, 9]","[5, 3]",golden
make a resume,"[decided to make a resume, 
turn on the computer, 
put in the password, 
navigate to microsoft word, 
open a resume template, 
fill out all information, 
make sure information is correct]",open a resume template,"find a template on the internet
ask a friend for resume template suggestions","[5, 10]","[0, 2]",golden
sign up for a marathon race,"[decided to sign up for a marathon race, 
take out a laptop, 
go on the internet, 
look up the website for the marathon, 
check payment options for the marathon, 
check the date of the marathon, 
start to enter personal info on the site]",look up the website for the marathon,"only search for marathons that are in the same city
search marathons that are in the nearby cities","[0, 2, 4]",[5],golden
buy tools for building,"[transport materials to the site, 
drive to the hardware store, 
grab a hammer, 
grab a drill, 
grab other tools needed, 
take tools to the checkout]",transport materials to the site,"rent a minivan for transportation
ask a friend or a family member for help","[5, 10]","[0, 1, 8]",golden
go the hockey game,"[decided to go the hockey game, 
search for tickets online, 
buy tickets online, 
get ready to leave the house, 
drive to the hockey game, 
wait in line at the hockey game, 
present hockey game tickets, 
take a seat in the arena]",search for tickets online,"look for official ticket platform
look for re-sale tickets on social media such as facebook groups","[0, 2, 5, 7]",[1],golden
sign new lease,"[submit application to landlord, 
wait patiently for landlord to make a decision, 
hand over deposit and first month rent check, 
sign new lease, 
landlord calls the tenant, 
answer cell phone, 
landlord reveals the good news to accept tenant, 
landlord meets with new tenants again]",sign new lease,"sign a long-term lease
sign the lease on a monthly or a quarterly basis, if possible","[0, 1, 2, 10]","[5, 6]",golden
buy a new dog,"[decided to buy a new dog, 
look up pet store on internet, 
browse pets on site, 
check for availability of pet, 
go to pet store, 
interact with various pets at store, 
walk up to cashier with pet]",interact with various pets at store,"bring some toys and see if they are playful
just sit there and observe the pets without doing anything","[5, 3, 4, 6, 7]","[0, 8]",golden
go back to college,"[decided to go back to college, 
search the internet for nearby colleges, 
see what majors are offered, 
prepare a college application, 
mail in the application, 
apply for loans, 
open acceptance letters, 
enroll in college]",prepare a college application,"prepare college application on your own
ask a friend or a family member for help",[10],[7],golden
adopt a cat,"[decided to adopt a cat, 
look up pet adoption places, 
drive to the pet adoption place, 
enter the pet adoption place, 
look at all the different cats, 
pick out a cat, 
write the legal paperwork, 
drive the cat home]",pick out a cat,"pick an adult cat
pick a kitty","[0, 1, 2, 7, 9]","[3, 6]",golden
make a masterpiece,"[decided to make a masterpiece, 
think of masterpiece to make, 
decide which masterpiece to make, 
sit down at computer, 
open up google and find supply store, 
order wood supplies needed for craft box, 
wait for supplies to arrive, 
carve/make wooden box until a crafted masterpiece is present]",decide which masterpiece to make,"start with something easy
start with a challenging option","[0, 2, 7, 9]",[3],golden
read books on religion,"[decided to read books on religion, 
get in the car, 
drive to the book store, 
go to the religion section, 
grab a book on religion, 
grab another book, 
purchase the books, 
drive back home]",drive to the book store,"drive to a department store with a book section
drive to a local book store",[4],"[5, 7]",golden
take items to counter and pay,"[pick out items to purchase, 
think if anything was forgotten, 
double check cost of items in cart, 
locate check out area, 
choose quickest checkout lane, 
pay for items when turn comes]",choose quickest checkout lane,"do a self-checkout
do a checkout at one of the counters","[2, 10]","[6, 7]",golden
